Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Senior
46.0,1,3,27,18.0,160000.0,2,4,1
31.0,0,1,74,3.0,50000.0,0,9,0
42.0,1,1,83,12.0,110000.0,1,3,1
29.0,0,1,105,1.5,40000.0,4,0,0
36.0,1,1,77,8.0,95000.0,3,9,1
44.0,0,2,59,15.0,140000.0,2,4,1
33.0,1,1,83,4.0,60000.0,2,6,0
39.0,0,1,74,9.0,110000.0,2,9,1
45.0,1,3,25,16.0,150000.0,0,1,1
32.0,0,1,76,4.0,60000.0,3,8,0
37.0,1,1,50,8.0,90000.0,0,2,1
47.0,0,2,42,20.0,180000.0,3,7,0
30.0,1,1,6,2.0,40000.0,0,2,0
38.0,0,1,92,9.0,120000.0,3,1,1
46.0,1,3,24,17.0,160000.0,3,1,1
34.0,0,1,50,5.0,70000.0,3,7,0
36.0,1,1,88,8.0,95000.0,0,1,1
49.0,0,2,43,21.0,180000.0,3,7,0
31.0,1,1,80,3.0,50000.0,4,5,0
41.0,0,1,90,11.0,95000.0,1,3,1
47.0,1,2,42,19.0,170000.0,1,9,0
29.0,0,1,7,1.5,35000.0,0,9,0
35.0,1,1,51,9.0,100000.0,1,9,1
44.0,0,3,86,15.0,150000.0,2,9,1
33.0,1,1,6,4.0,60000.0,1,3,0
35.0,0,1,73,8.0,85000.0,2,4,1
44.0,1,1,112,13.0,130000.0,1,9,1
32.0,1,1,88,4.0,65000.0,2,4,0
38.0,0,1,6,10.0,110000.0,0,1,1
49.0,1,3,43,21.0,180000.0,4,1,0
29.0,0,1,77,2.0,40000.0,0,2,0
35.0,1,1,8,7.0,90000.0,4,5,1
45.0,0,2,58,14.0,140000.0,3,8,1
33.0,1,1,50,4.0,60000.0,2,6,0
40.0,0,1,76,12.0,130000.0,0,1,1
44.0,1,3,27,16.0,160000.0,0,1,1
30.0,0,1,81,2.0,40000.0,0,9,0
37.0,1,1,73,9.0,100000.0,3,7,1
48.0,0,2,39,20.0,180000.0,4,5,0
31.0,1,1,92,3.0,55000.0,1,3,0
38.0,0,1,81,9.0,120000.0,1,1,1
45.0,1,3,25,16.0,150000.0,1,3,1
33.0,0,1,76,5.0,70000.0,3,7,0
36.0,1,1,6,8.0,95000.0,2,4,1
49.0,0,2,42,21.0,180000.0,2,9,0
31.0,1,1,80,3.0,50000.0,1,3,0
42.0,0,1,92,12.0,120000.0,0,9,1
47.0,1,2,42,19.0,170000.0,3,9,0
29.0,0,1,7,1.5,35000.0,0,9,0
35.0,1,1,51,9.0,100000.0,0,1,1
44.0,0,3,86,15.0,150000.0,0,1,1
33.0,1,1,6,4.0,60000.0,3,9,0
35.0,0,1,73,8.0,85000.0,1,3,1
44.0,1,1,112,13.0,130000.0,0,9,1
34.0,0,2,49,6.0,80000.0,1,9,1
36.0,1,1,77,8.0,95000.0,1,9,1
30.0,0,1,56,2.0,40000.0,3,8,0
37.0,1,1,8,10.0,120000.0,2,4,1
45.0,0,2,76,16.0,160000.0,1,3,1
32.0,1,1,49,4.0,65000.0,4,5,0
39.0,0,1,92,12.0,130000.0,1,9,1
47.0,1,3,37,20.0,180000.0,2,9,0
29.0,0,1,73,2.0,40000.0,0,2,0
36.0,1,1,83,9.0,100000.0,3,1,1
43.0,0,3,27,15.0,150000.0,4,0,1
32.0,1,1,74,3.0,55000.0,1,9,0
38.0,0,1,6,10.0,110000.0,2,9,1
48.0,1,2,42,21.0,180000.0,2,4,0
31.0,0,1,7,3.0,50000.0,2,6,0
40.0,1,1,50,12.0,130000.0,0,9,1
45.0,0,3,123,16.0,160000.0,0,1,1
33.0,1,1,88,4.0,60000.0,1,1,0
36.0,0,1,76,8.0,95000.0,2,6,1
47.0,1,2,43,19.0,170000.0,2,4,0
29.0,0,1,92,2.0,40000.0,3,7,0
34.0,1,1,81,7.0,90000.0,3,1,1
44.0,0,3,6,15.0,150000.0,3,9,1
33.0,1,1,77,5.0,70000.0,3,8,0
35.0,0,1,51,8.0,90000.0,0,9,1
43.0,1,2,42,18.0,170000.0,2,6,0
31.0,0,1,50,3.0,50000.0,3,1,0
41.0,1,1,88,14.0,150000.0,1,9,1
44.0,0,3,25,16.0,160000.0,1,1,1
33.0,1,1,6,4.0,60000.0,1,3,0
35.0,0,1,73,8.0,85000.0,1,1,1
45.0,1,2,37,19.0,180000.0,2,4,0
28.0,0,1,83,1.0,35000.0,1,1,0
36.0,1,1,8,8.0,110000.0,4,1,1
44.0,0,3,27,16.0,160000.0,2,4,1
31.0,1,1,74,3.0,55000.0,1,3,0
38.0,0,1,6,10.0,110000.0,1,3,1
48.0,1,2,42,21.0,180000.0,1,1,0
31.0,0,1,7,3.0,50000.0,1,3,0
40.0,1,1,50,12.0,130000.0,4,9,1
45.0,0,3,123,16.0,160000.0,3,1,1
33.0,1,1,88,4.0,60000.0,1,9,0
36.0,0,1,76,8.0,95000.0,3,8,1
47.0,1,2,43,19.0,170000.0,3,8,0
29.0,0,1,92,2.0,40000.0,0,2,0
34.0,1,1,81,7.0,90000.0,2,4,1
44.0,0,3,6,15.0,150000.0,3,8,1
33.0,1,1,77,5.0,70000.0,1,9,0
35.0,0,1,51,8.0,90000.0,2,4,1
43.0,1,2,42,18.0,170000.0,1,1,0
31.0,0,1,50,3.0,50000.0,1,3,0
41.0,1,1,88,14.0,150000.0,2,4,1
44.0,0,3,25,16.0,160000.0,0,9,1
33.0,1,1,6,4.0,60000.0,3,8,0
35.0,0,1,73,8.0,85000.0,2,9,1
43.0,1,2,43,19.0,170000.0,2,9,0
29.0,0,1,92,2.0,40000.0,4,1,0
34.0,1,1,81,7.0,90000.0,2,9,1
44.0,0,3,6,15.0,150000.0,3,9,1
31.0,1,2,27,6.0,160000.0,0,9,0
28.0,0,1,112,3.0,125000.0,1,3,0
26.0,1,2,88,2.0,120000.0,2,9,0
27.0,0,1,24,2.0,110000.0,3,7,0
30.0,1,3,27,5.0,180000.0,2,6,0
29.0,0,1,112,4.0,140000.0,0,9,0
32.0,1,1,88,7.0,170000.0,4,1,0
25.0,0,2,24,1.0,100000.0,2,9,0
33.0,1,3,27,8.0,190000.0,3,7,0
31.0,0,1,112,6.0,155000.0,3,8,0
28.0,1,2,88,3.0,130000.0,1,3,0
30.0,0,1,24,5.0,145000.0,4,0,0
27.0,1,3,27,2.0,115000.0,4,0,0
29.0,0,1,112,4.0,140000.0,4,5,0
34.0,1,1,88,9.0,185000.0,2,4,0
25.0,0,2,24,1.0,100000.0,0,2,0
33.0,1,3,27,8.0,190000.0,1,3,0
31.0,0,1,112,6.0,155000.0,3,8,0
28.0,1,2,88,3.0,130000.0,0,9,0
30.0,0,1,24,5.0,145000.0,0,9,0
28.0,1,1,112,3.0,125000.0,2,6,0
26.0,0,2,88,2.0,120000.0,4,9,0
27.0,1,1,24,2.0,110000.0,4,0,0
30.0,0,3,27,5.0,180000.0,2,6,0
29.0,1,1,112,4.0,140000.0,4,5,0
32.0,1,1,88,7.0,170000.0,2,4,0
25.0,0,2,24,1.0,100000.0,0,1,0
33.0,1,3,27,8.0,190000.0,1,1,0
31.0,0,1,112,6.0,155000.0,0,2,0
28.0,1,2,88,3.0,130000.0,1,1,0
30.0,0,1,24,5.0,145000.0,1,1,0
27.0,1,3,27,2.0,115000.0,3,1,0
29.0,0,1,112,4.0,140000.0,0,9,0
34.0,1,1,88,9.0,185000.0,1,9,0
25.0,0,2,24,1.0,100000.0,2,9,0
33.0,1,3,27,8.0,190000.0,3,9,0
31.0,0,1,112,6.0,155000.0,0,2,0
28.0,1,2,88,3.0,130000.0,1,1,0
30.0,0,1,24,5.0,145000.0,1,9,0
28.0,1,1,112,3.0,125000.0,0,1,0
26.0,0,2,88,2.0,120000.0,4,9,0
27.0,1,1,24,2.0,110000.0,0,9,0
30.0,0,3,27,5.0,180000.0,1,3,0
29.0,1,1,112,4.0,140000.0,0,1,0
32.0,1,1,88,7.0,170000.0,4,0,0
25.0,0,2,24,1.0,100000.0,1,3,0
33.0,1,3,27,8.0,190000.0,0,2,0
31.0,0,1,112,6.0,155000.0,2,4,0
28.0,1,2,88,3.0,130000.0,3,7,0
30.0,0,1,24,5.0,145000.0,2,9,0
27.0,1,3,27,2.0,115000.0,0,2,0
29.0,0,1,112,4.0,140000.0,2,6,0
34.0,1,1,88,9.0,185000.0,2,6,0
25.0,0,2,24,1.0,100000.0,2,4,0
33.0,1,3,27,8.0,190000.0,4,1,0
31.0,0,1,112,6.0,155000.0,0,1,0
28.0,1,2,88,3.0,130000.0,0,2,0
30.0,0,1,24,5.0,145000.0,0,2,0
28.0,1,1,112,3.0,125000.0,1,3,0
26.0,0,2,88,2.0,120000.0,3,1,0
27.0,1,1,24,2.0,110000.0,2,9,0
30.0,0,3,27,5.0,180000.0,4,0,0
29.0,1,1,112,4.0,140000.0,1,1,0
32.0,1,1,88,7.0,170000.0,2,6,0
25.0,0,2,24,1.0,100000.0,0,1,0
33.0,1,3,27,8.0,190000.0,4,1,0
31.0,0,1,112,6.0,155000.0,2,4,0
28.0,1,2,88,3.0,130000.0,4,5,0
30.0,0,1,24,5.0,145000.0,4,9,0
27.0,1,3,27,2.0,115000.0,2,6,0
29.0,0,1,112,4.0,140000.0,4,0,0
34.0,1,1,88,9.0,185000.0,2,4,0
25.0,0,2,24,1.0,100000.0,3,7,0
33.0,1,3,27,8.0,190000.0,3,8,0
31.0,0,1,112,6.0,155000.0,0,1,0
28.0,1,2,88,3.0,130000.0,4,1,0
30.0,0,1,24,5.0,145000.0,0,9,0
27.0,1,3,27,2.0,115000.0,2,6,0
29.0,0,1,112,4.0,140000.0,4,5,0
34.0,1,1,88,9.0,185000.0,3,7,0
25.0,0,2,24,1.0,100000.0,0,2,0
33.0,1,3,27,8.0,190000.0,2,4,0
31.0,0,1,112,6.0,155000.0,4,5,0
28.0,1,2,88,3.0,130000.0,1,1,0
30.0,0,1,24,5.0,145000.0,0,1,0
28.0,1,1,112,3.0,125000.0,0,1,0
26.0,0,2,88,2.0,120000.0,0,2,0
27.0,1,1,24,2.0,110000.0,0,1,0
30.0,0,3,27,5.0,180000.0,4,1,0
29.0,1,1,112,4.0,140000.0,4,5,0
32.0,1,1,88,7.0,170000.0,1,9,0
25.0,0,2,24,1.0,100000.0,3,8,0
33.0,1,3,27,8.0,190000.0,2,6,0
31.0,0,1,112,6.0,155000.0,4,1,0
28.0,1,2,88,3.0,130000.0,3,7,0
30.0,0,1,24,5.0,145000.0,0,9,0
27.0,1,3,27,2.0,115000.0,0,1,0
29.0,0,1,112,4.0,140000.0,2,6,0
34.0,1,1,88,9.0,185000.0,2,6,0
25.0,0,2,24,1.0,100000.0,1,1,0
33.0,1,3,27,8.0,190000.0,3,7,0
31.0,0,1,112,6.0,155000.0,3,8,0
28.0,1,2,88,3.0,130000.0,3,1,0
30.0,0,1,24,5.0,145000.0,2,4,0
27.0,1,3,27,2.0,115000.0,3,8,0
29.0,0,1,112,4.0,140000.0,2,4,0
34.0,1,1,88,9.0,185000.0,2,9,0
25.0,0,2,24,1.0,100000.0,3,9,0
33.0,1,3,27,8.0,190000.0,3,7,0
31.0,0,1,112,6.0,155000.0,2,4,0
28.0,1,2,88,3.0,130000.0,1,9,0
30.0,0,1,24,5.0,145000.0,4,9,0
27.0,1,3,27,2.0,115000.0,3,7,0
29.0,0,1,112,4.0,140000.0,4,9,0
34.0,1,1,88,9.0,185000.0,0,1,0
25.0,0,2,24,1.0,100000.0,0,1,0
33.0,1,3,27,8.0,190000.0,1,1,0
31.0,0,1,112,6.0,155000.0,0,2,0
28.0,1,2,88,3.0,130000.0,1,1,0
30.0,0,1,24,5.0,145000.0,2,4,0
27.0,1,3,27,2.0,115000.0,0,9,0
29.0,0,1,112,4.0,140000.0,2,4,0
34.0,1,1,88,9.0,185000.0,1,9,0
25.0,0,2,24,1.0,100000.0,2,6,0
33.0,1,3,27,8.0,190000.0,3,7,0
31.0,0,1,112,6.0,155000.0,4,9,0
28.0,1,2,88,3.0,130000.0,0,9,0
30.0,0,1,24,5.0,145000.0,4,5,0
27.0,1,3,27,2.0,115000.0,3,8,0
29.0,0,1,112,4.0,140000.0,1,1,0
34.0,1,1,88,9.0,185000.0,0,2,0
26.0,1,1,24,3.0,130000.0,0,2,0
29.0,0,2,27,6.0,180000.0,3,1,0
32.0,1,1,112,8.0,190000.0,0,9,0
27.0,0,1,88,4.0,150000.0,3,8,0
24.0,1,1,24,1.0,90000.0,2,4,0
31.0,0,2,27,9.0,195000.0,3,1,0
28.0,1,1,112,5.0,160000.0,2,9,0
33.0,0,2,88,11.0,198000.0,4,0,0
25.0,1,1,24,2.0,110000.0,4,5,0
30.0,0,3,27,7.0,185000.0,2,6,0
27.0,1,1,112,4.0,140000.0,3,7,0
34.0,0,2,88,12.0,196000.0,2,4,0
23.0,1,1,24,1.0,95000.0,2,6,0
32.0,0,3,27,10.0,193000.0,0,9,0
29.0,1,1,112,6.0,175000.0,0,9,0
30.0,0,1,88,5.0,160000.0,0,9,0
26.0,1,1,24,3.0,130000.0,1,3,0
31.0,0,2,27,6.0,180000.0,2,6,0
28.0,1,1,112,5.0,160000.0,4,0,0
33.0,0,2,88,11.0,198000.0,3,7,0
24.0,1,1,24,1.0,90000.0,2,9,0
30.0,0,3,27,7.0,185000.0,1,9,0
27.0,1,1,112,4.0,140000.0,1,3,0
34.0,0,2,88,12.0,196000.0,1,9,0
25.0,1,1,24,2.0,110000.0,2,4,0
29.0,0,2,27,6.0,180000.0,4,9,0
32.0,1,1,112,8.0,190000.0,0,9,0
27.0,0,1,88,4.0,150000.0,2,9,0
31.0,1,1,24,9.0,195000.0,2,6,0
28.0,0,1,112,5.0,160000.0,0,1,0
33.0,1,2,88,11.0,198000.0,3,9,0
26.0,0,1,24,3.0,130000.0,0,9,0
30.0,1,3,27,7.0,185000.0,4,0,0
27.0,0,1,112,4.0,140000.0,3,8,0
34.0,1,2,88,12.0,196000.0,2,6,0
25.0,0,1,24,2.0,110000.0,2,6,0
32.0,1,1,112,8.0,190000.0,3,1,0
29.0,0,2,27,6.0,180000.0,4,9,0
30.0,1,1,24,5.0,160000.0,4,0,0
33.0,0,2,88,11.0,198000.0,4,9,0
24.0,1,1,24,1.0,90000.0,4,0,0
31.0,0,3,27,9.0,195000.0,0,9,0
28.0,1,1,112,5.0,160000.0,0,1,0
27.0,0,1,88,4.0,150000.0,3,9,0
26.0,1,1,24,3.0,130000.0,1,9,0
29.0,0,2,27,6.0,180000.0,1,9,0
32.0,1,1,112,8.0,190000.0,2,9,0
33.0,0,2,88,11.0,198000.0,3,9,0
25.0,1,1,24,2.0,110000.0,0,9,0
30.0,0,3,27,7.0,185000.0,4,1,0
27.0,1,1,112,4.0,140000.0,2,4,0
34.0,0,2,88,12.0,196000.0,3,7,0
31.0,1,1,24,9.0,195000.0,1,1,0
